Type,Date,Hour,Weekday,DayCode,Location,Amount
Deposit,1,0,Tue,3,DriveUp,11000 
Deposit,1,0,Tue,3,DriveUp,11000 
Deposit,1,1,Tue,3,DriveUp,5000 
Withdrawal,1,3,Tue,3,CampusA,1000 
Withdrawal,1,4,Tue,3,DriveUp,3000 
Withdrawal,1,4,Tue,3,DriveUp,1000 
Deposit,1,5,Tue,3,DriveUp,54000 
Deposit,1,5,Tue,3,DriveUp,18000 
Withdrawal,1,6,Tue,3,DriveUp,3000 
Withdrawal,1,6,Tue,3,DriveUp,1000 
Withdrawal,1,6,Tue,3,DriveUp,3000 
Deposit,1,6,Tue,3,DriveUp,13000 
Deposit,1,7,Tue,3,DriveUp,30000 
Deposit,1,7,Tue,3,DriveUp,13000 
Deposit,1,7,Tue,3,DriveUp,21000 
Withdrawal,1,7,Tue,3,DriveUp,3000 
Deposit,1,7,Tue,3,DriveUp,8000 
Withdrawal,1,7,Tue,3,DriveUp,2000 
Deposit,1,7,Tue,3,DriveUp,2000 
Withdrawal,1,7,Tue,3,DriveUp,1000 
Deposit,1,7,Tue,3,DriveUp,1000 
Transfer,1,7,Tue,3,DriveUp,24000 
Withdrawal,1,7,Tue,3,DriveUp,6000 
Deposit,1,7,Tue,3,DriveUp,18000 
Withdrawal,1,7,Tue,3,CampusA,1000 
Deposit,1,7,Tue,3,DriveUp,4000 
Deposit,1,7,Tue,3,DriveUp,31000 
Withdrawal,1,7,Tue,3,DriveUp,2000 
Deposit,1,7,Tue,3,DriveUp,3000 
Withdrawal,1,7,Tue,3,DriveUp,2000 
Withdrawal,1,7,Tue,3,CampusA,2000 
Deposit,1,7,Tue,3,DriveUp,24000 
Withdrawal,1,7,Tue,3,DriveUp,3000 
Withdrawal,1,7,Tue,3,DriveUp,3000 
Deposit,1,7,Tue,3,CampusB,2000 
Withdrawal,1,7,Tue,3,DriveUp,1000 
Withdrawal,1,7,Tue,3,CampusB,3000 
Withdrawal,1,7,Tue,3,DriveUp,6000 
Deposit,1,8,Tue,3,DriveUp,14000 
Withdrawal,1,8,Tue,3,DriveUp,1000 
Deposit,1,8,Tue,3,CampusB,4000 
Withdrawal,1,8,Tue,3,CampusA,2000 
Withdrawal,1,8,Tue,3,CampusB,1000 
Deposit,1,8,Tue,3,DriveUp,2000 
Withdrawal,1,8,Tue,3,DriveUp,1000 
Withdrawal,1,8,Tue,3,CampusB,1000 
Deposit,1,8,Tue,3,DriveUp,77000 
Withdrawal,1,8,Tue,3,DriveUp,2000 
Transfer,1,8,Tue,3,DriveUp,270000 
Deposit,1,8,Tue,3,DriveUp,59000 
Deposit,1,8,Tue,3,CampusB,18000 
Withdrawal,1,8,Tue,3,CampusB,1000 
Transfer,1,8,Tue,3,CampusB,60000 
Withdrawal,1,8,Tue,3,CampusB,2000 
Withdrawal,1,8,Tue,3,CampusB,1000 
Withdrawal,1,8,Tue,3,CampusB,2000 
Withdrawal,1,8,Tue,3,DriveUp,3000 
Deposit,1,8,Tue,3,DriveUp,11000 
Withdrawal,1,8,Tue,3,CampusB,3000 
Withdrawal,1,8,Tue,3,CampusB,2000 
Deposit,1,9,Tue,3,DriveUp,28000 
Withdrawal,1,9,Tue,3,DriveUp,2000 
Transfer,1,9,Tue,3,DriveUp,2000 
Withdrawal,1,9,Tue,3,CampusB,1000 
Deposit,1,9,Tue,3,CampusB,3000 
Withdrawal,1,9,Tue,3,CampusB,6000 
Withdrawal,1,9,Tue,3,DriveUp,1000 
Deposit,1,9,Tue,3,DriveUp,4000 
Withdrawal,1,9,Tue,3,DriveUp,3000 
Withdrawal,1,9,Tue,3,DriveUp,2000 
Withdrawal,1,9,Tue,3,CampusA,3000 
Withdrawal,1,9,Tue,3,CampusB,1000 
Deposit,1,9,Tue,3,DriveUp,11000 
Deposit,1,9,Tue,3,DriveUp,14000 
Withdrawal,1,9,Tue,3,DriveUp,2000 
Deposit,1,9,Tue,3,DriveUp,229000 
Withdrawal,1,9,Tue,3,DriveUp,9000 
Withdrawal,1,9,Tue,3,DriveUp,6000 
Withdrawal,1,9,Tue,3,DriveUp,1000 
Withdrawal,1,9,Tue,3,CampusB,1000 
Withdrawal,1,9,Tue,3,CampusB,2000 
Deposit,1,9,Tue,3,CampusB,3000 
Withdrawal,1,9,Tue,3,CampusB,2000 
Deposit,1,9,Tue,3,DriveUp,8000 
Withdrawal,1,9,Tue,3,CampusB,1000 
Withdrawal,1,9,Tue,3,CampusB,2000 
Deposit,1,10,Tue,3,DriveUp,30000 
Withdrawal,1,10,Tue,3,CampusA,2000 
Withdrawal,1,10,Tue,3,CampusB,1000 
Withdrawal,1,10,Tue,3,CampusA,1000 
Withdrawal,1,10,Tue,3,CampusB,1000 
Withdrawal,1,10,Tue,3,CampusB,1000 
Withdrawal,1,10,Tue,3,CampusB,1000 
Deposit,1,10,Tue,3,CampusB,2000 
Deposit,1,10,Tue,3,CampusB,19000 
